"League","Away Team","S","EX","EN","F","I","R","Score","Results","Home Team","S","EX","EN","F","I","R","Score","Results"
"NBA","Hawks","34.0","24.0","50.0","39.0","51.0","31.0","110.0","L","Hornets","38.0","22.0","53.0","40.0","52.0","37.0","121.0","W"
"NBA","Pacers","34.0","21.0","51.0","42.0","52.0","32.0","108.0","L","Cavaliers","44.0","25.0","53.0","42.0","53.0","46.0","115.0","W"
"NBA","Jazz","31.0","25.0","47.0","35.0","52.0","30.0","97.0","W","Raptors","44.0","31.0","59.0","45.0","54.0","47.0","93.0","L"
"NBA","Lakers","30.0","24.0","46.0","30.0","52.0","30.0","108.0","W","Bulls","34.0","22.0","49.0","34.0","53.0","39.0","103.0","L"
"NBA","Clippers","37.0","22.0","49.0","39.0","54.0","39.0","109.0","W","Grizzlies","42.0","24.0","61.0","45.0","55.0","50.0","100.0","L"
"NBA","Nets","29.0","23.0","40.0","32.0","50.0","23.0","91.0","L","Bucks","31.0","23.0","39.0","31.0","51.0","26.0","116.0","W"
"NBA","Rockets","30.0","35.0","41.0","33.0","51.0","27.0","113.0","L","Pelicans","32.0","24.0","43.0","30.0","52.0","31.0","115.0","W"
"NBA","Trailblazers","31.0","19.0","39.0","30.0","52.0","29.0","107.0","W","Mavericks","32.0","23.0","45.0","31.0","52.0","30.0","93.0","L"
"NBA","76ers","33.0","17.0","45.0","32.0","52.0","32.0","97.0","W","Spurs","32.0","18.0","41.0","31.0","52.0","33.0","78.0","L"
"NBA","Knicks","33.0","20.0","44.0","33.0","52.0","32.0","107.0","W","Suns","33.0","18.0","49.0","34.0","52.0","34.0","85.0","L"
"NBA","Hornets","33.0","22.0","48.0","41.0","52.0","29.0","90.0","L","Pistons","34.0","24.0","49.0","39.0","53.0","32.0","102.0","W"
"NBA","Heat","35.0","24.0","46.0","36.0","52.0","30.0","109.0","L","Magic","37.0","24.0","52.0","41.0","53.0","37.0","116.0","W"
"NBA","Timberwolves","42.0","28.0","57.0","42.0","54.0","43.0","99.0","L","Spurs","42.0","25.0","54.0","39.0","54.0","44.0","107.0","W"
"NHL","Blackhawks","37.0","24.0","43.0","35.0","53.0","36.0","2.0","L","Blues","35.0","26.0","48.0","43.0","53.0","35.0","5.0","W"
"NHL","Canadiens","35.0","25.0","44.0","37.0","52.0","30.0","1.0","L","Kings","34.0","25.0","53.0","40.0","52.0","36.0","5.0","W"
"NBA","Celtics","33.0","32.0","44.0","33.0","52.0","31.0","99.0","L","Cavaliers","36.0","20.0","55.0","38.0","53.0","41.0","102.0","W"
"NHL","Lightning","35.0","19.0","57.0","41.0","53.0","37.0","4.0","L","Devils","32.0","23.0","47.0","35.0","53.0","34.0","5.0","W"
"NHL","Canadiens","38.0","22.0","45.0","30.0","54.0","44.0","2.0","L","Sharks","38.0","24.0","59.0","45.0","54.0","42.0","5.0","W"
"NHL","Avalanche","42.0","26.0","53.0","40.0","55.0","48.0","1.0","L","Predators","36.0","21.0","52.0","38.0","53.0","38.0","4.0","W"
"NHL","Canucks","38.0","23.0","51.0","41.0","54.0","41.0","3.0","W","Senators","40.0","21.0","51.0","34.0","55.0","47.0","0.0","L"
"NHL","Oilers","32.0","26.0","52.0","39.0","51.0","29.0","3.0","W","Devils","37.0","25.0","51.0","38.0","52.0","36.0","2.0","L"
"NHL","Blackhawks","31.0","24.0","51.0","35.0","51.0","30.0","1.0","L","Flyers","33.0","24.0","54.0","39.0","52.0","34.0","3.0","W"
"NHL","Wild","37.0","23.0","52.0","35.0","52.0","37.0","3.0","W","Canadiens","32.0","24.0","51.0","39.0","52.0","35.0","0.0","L"
"NHL","Coyotes","40.0","26.0","57.0","41.0","53.0","45.0","2.0","L","Blues","41.0","29.0","62.0","47.0","55.0","48.0","3.0","W"
"NHL","Red Wings","32.0","26.0","64.0","40.0","53.0","37.0","3.0","L","Flames","41.0","26.0","61.0","40.0","54.0","49.0","6.0","W"
"NHL","Canucks","35.0","27.0","50.0","39.0","51.0","30.0","1.0","L","Ducks","34.0","23.0","46.0","35.0","52.0","31.0","4.0","W"
"NHL","Lightning","33.0","21.0","40.0","31.0","52.0","30.0","5.0","W","Kings","34.0","22.0","50.0","38.0","53.0","32.0","2.0","L"
"NBA","Pelicans","33.0","24.0","47.0","33.0","53.0","32.0","118.0","L","Raptors","37.0","26.0","56.0","41.0","53.0","34.0","122.0","W"
"NBA","Cavaliers","32.0","27.0","43.0","31.0","53.0","30.0","113.0","L","Rockets","34.0","28.0","47.0","32.0","54.0","35.0","117.0","W"
"NBA","Thunder","33.0","27.0","38.0","33.0","54.0","34.0","94.0","L","Nuggets","35.0","29.0","40.0","33.0","53.0","35.0","102.0","W"
"NHL","Stars","32.0","26.0","46.0","37.0","50.0","29.0","2.0","L","Jets","33.0","25.0","44.0","32.0","51.0","31.0","5.0","W"
"NHL","Canadiens","35.0","25.0","39.0","32.0","51.0","35.0","3.0","L","Wild","35.0","33.0","41.0","29.0","51.0","35.0","6.0","W"
"NHL","Flyers","37.0","25.0","52.0","39.0","52.0","35.0","2.0","W","Blues","35.0","29.0","51.0","33.0","52.0","37.0","0.0","L"
"NHL","Hurricanes","39.0","24.0","44.0","31.0","52.0","41.0","3.0","L","Avalanche","37.0","26.0","46.0","42.0","53.0","45.0","5.0","W"
"NHL","Penguins","38.0","25.0","42.0","43.0","53.0","41.0","1.0","L","Flames","40.0","28.0","42.0","39.0","55.0","51.0","2.0","W"
"NHL","Islanders","39.0","26.0","48.0","39.0","52.0","34.0","3.0","L","Capitals","41.0","24.0","54.0","42.0","53.0","38.0","4.0","W"
"NHL","Golden Knights","42.0","23.0","49.0","38.0","55.0","40.0","1.0","L","Bruins","42.0","28.0","52.0","44.0","54.0","46.0","2.0","W"
"NHL","Blue Jackets","38.0","28.0","55.0","44.0","55.0","41.0","7.0","W","Panthers","50.0","25.0","56.0","42.0","55.0","55.0","3.0","L"
"NHL","Rangers","32.0","27.0","45.0","32.0","52.0","33.0","2.0","W","Lightning","27.0","23.0","43.0","29.0","51.0","25.0","1.0","L"
"NHL","Red Wings","28.0","29.0","53.0","32.0","51.0","24.0","1.0","L","Senators","29.0","32.0","48.0","29.0","52.0","28.0","3.0","W"
"MLB","Rockies","38.0","23.0","49.0","41.0","51.0","30.0","8.0","W","Phillies","34.0","23.0","49.0","34.0","52.0","29.0","1.0","L"
"MLB","Royals","35.0","27.0","49.0","35.0","52.0","32.0","2.0","L","Yankees","38.0","25.0","58.0","45.0","53.0","39.0","4.0","W"
"MLB","Twins","36.0","33.0","58.0","42.0","53.0","33.0","14.0","W","Orioles","41.0","28.0","51.0","32.0","53.0","43.0","7.0","L"
"MLB","Indians","36.0","29.0","48.0","35.0","53.0","38.0","1.0","L","Reds","31.0","24.0","47.0","39.0","51.0","29.0","5.0","W"
"MLB","Angels","34.0","23.0","47.0","34.0","51.0","28.0","3.0","W","Rays","36.0","22.0","51.0","37.0","52.0","34.0","2.0","L"
"MLB","Red Sox","34.0","25.0","49.0","37.0","50.0","30.0","12.0","W","Athletics","32.0","24.0","44.0","32.0","50.0","26.0","3.0","L"
"MLB","White Sox","36.0","26.0","44.0","35.0","52.0","32.0","8.0","W","Mariners","34.0","25.0","60.0","33.0","51.0","29.0","1.0","L"
"MLB","Marlins","36.0","28.0","32.0","32.0","52.0","32.0","3.0","L","Dodgers","40.0","28.0","37.0","42.0","52.0","39.0","6.0","W"
"MLB","Diamondbacks","39.0","26.0","37.0","35.0","53.0","41.0","1.0","L","Padres","40.0","24.0","42.0","42.0","53.0","42.0","5.0","W"
"MLB","Rangers","34.0","22.0","41.0","36.0","50.0","25.0","5.0","W","Tigers","33.0","24.0","47.0","34.0","51.0","29.0","2.0","L"
"MLB","Mariners","33.0","47.0","52.0","38.0","52.0","31.0","0.0","L","Blue Jays","37.0","34.0","60.0","45.0","53.0","41.0","4.0","W"
"MLB","Braves","32.0","28.0","48.0","35.0","53.0","30.0","8.0","W","Marlins","35.0","36.0","62.0","44.0","53.0","37.0","4.0","L"
"MLB","Twins","28.0","22.0","39.0","32.0","48.0","22.0","1.0","W","Indians","30.0","25.0","44.0","34.0","51.0","26.0","0.0","L"
"MLB","Rays","33.0","29.0","49.0","38.0","52.0","32.0","5.0","W","Red Sox","36.0","32.0","56.0","40.0","53.0","37.0","4.0","L"
"MLB","Twins","36.0","48.0","60.0","46.0","52.0","33.0","7.0","W","White Sox","39.0","23.0","54.0","39.0","53.0","38.0","6.0","L"
